fluo_bin,mean_fluo,stripe_id,n_dup_orig,n_dup_final,kon_med,kon_ste,koff_med,koff_ste,r_med,r_ste
5,69882.3272887129,1,11,11,0.00563133835237095,0.000623612540854841,0.0137074522443752,0.00183396755479449,1305.01103151255,85.5294091715189
5,69882.3272887129,2,55,55,0.00770674212189097,0.000692809494016773,0.0129157829759206,0.0021690258140962,1055.26428108872,34.5252187864653
5,69882.3272887129,3,21,21,0.00484571599335546,0.00071309755758628,0.0123899805989627,0.00185808825432392,1246.7945899498,51.0392871742383
5,69882.3272887129,4,55,55,0.00671009665308,0.000783504160071196,0.0136398685376878,0.00267344021744508,1140.79191002425,80.7960964813742
5,69882.3272887129,5,11,11,0.00505296057721007,0.00103118707400538,0.0142301769952788,0.00386323075761005,1365.06616144632,187.300615670195
5,69882.3272887129,6,35,35,0.00547971857424197,0.000812374536713381,0.0139316002999926,0.00301991737422003,1442.21991768174,177.362713174909
5,69882.3272887129,7,21,21,0.00698666928345968,0.00102544765229604,0.0147486521180095,0.00491357834238289,1191.4290709818,95.4659339063935
6,82624.0850215763,0,34,34,0.00719151268415358,0.00105658557562587,0.0145054241198319,0.00559873083390312,1384.12912107048,85.092534794592
6,82624.0850215763,1,11,11,0.00755403714061611,0.000954852439756937,0.0142638302902257,0.00306580237844141,1329.81026106677,115.065662782378
6,82624.0850215763,2,37,37,0.00842251761028604,0.00147283530886116,0.0162661333848433,0.00388862740941391,1255.77478580324,160.011468588388
6,82624.0850215763,3,21,21,0.00595086729963195,0.000625091648025674,0.015089605363281,0.00289751575202768,1551.24752375032,80.3295685164517
6,82624.0850215763,4,37,37,0.00708892090694821,0.00080527836347531,0.0144969263285963,0.00219196499153063,1343.71825327288,38.267477569887
6,82624.0850215763,5,11,11,0.00531192985593358,0.000588982149090768,0.0122903062416377,0.0037685421843685,1367.1170407078,155.48845837775
6,82624.0850215763,6,36,36,0.00604324373723818,0.000261678912802844,0.0124182111252302,0.00073892524679184,1379.28752336278,46.6179428207136
6,82624.0850215763,7,21,21,0.00568755749367573,0.0010295677035529,0.00944835614963083,0.00207013373785493,1286.48539638702,38.6565817162652
7,95876.4168225834,0,34,34,0.00726703511178141,0.000461283169110419,0.0136005575188512,0.0021267968879945,1558.13862257847,115.304082708357
7,95876.4168225834,1,11,11,0.0058593351678538,0.000410941817322508,0.0116905139112573,0.00208476551276665,1613.02009550554,167.949200052052
7,95876.4168225834,2,48,48,0.00747621190116949,0.0011267964986814,0.0138127055414789,0.00323755825237249,1537.61364791523,187.170579836606
7,95876.4168225834,3,21,21,0.00772395963735734,0.000458920627410321,0.0120046301066562,0.00129404587162395,1345.34933844013,38.3025613420205
7,95876.4168225834,4,23,23,0.00693905098049091,0.000568463062904282,0.0106267522158244,0.00427583525022377,1388.21691830602,232.75555121067
7,95876.4168225834,5,11,11,0.00684909380311716,0.0016464718470428,0.0114348781818544,0.00234243305487329,1376.83460455702,52.9746603158621
7,95876.4168225834,6,54,54,0.00740171257922043,0.000856540153786257,0.0129702821887317,0.00204799122503762,1499.97155414321,33.071032684016
7,95876.4168225834,7,21,21,0.00847929313404668,0.00133181234889429,0.0152766819833647,0.00385653358698216,1514.3290143822,132.543201117249
8,112457.950853805,0,50,50,0.00825199998235793,0.000475002627482148,0.0108262687315787,0.00233371457605087,1524.94691685596,97.1750032066839
8,112457.950853805,1,11,11,0.00739188634906302,0.00191148001661974,0.0105249018216434,0.00195762659710257,1593.78365461023,86.925518650934
8,112457.950853805,2,55,55,0.0104436852184693,0.000584171863474443,0.0138302257818491,0.0011537915478206,1462.94811291512,21.989265949481
8,112457.950853805,3,15,15,0.00788008718532317,0.000152308435211628,0.0128456785846699,0.00346361407548346,1657.8425853872,217.903942282936
8,112457.950853805,4,55,55,0.0101322993914947,0.00063342314491956,0.0121813152700534,0.000964237858414665,1411.22761724113,32.4255273316544
8,112457.950853805,5,11,11,0.00658454725766333,0.000654428772943061,0.00930139716249235,0.00132227889912309,1535.56320104857,41.6429292076887
8,112457.950853805,6,55,55,0.00909251981077644,0.000725846025074884,0.0131053934638999,0.00172419014842809,1529.45468092971,68.9002405477127
8,112457.950853805,7,21,21,0.00804781990465748,0.00167326142389758,0.0107034848287922,0.0027201357693927,1489.29464870655,31.1555579263936
9,134558.887893119,0,50,50,0.00888787606077614,0.00111337846811561,0.0105293010910903,0.00166842326182576,1718.9404493029,125.710961362033
9,134558.887893119,1,11,11,0.00920672701924995,0.000857473715941581,0.0119071510847757,0.00188928139324481,1824.45792205271,65.1583179684194
9,134558.887893119,2,55,55,0.0108302006386542,0.00159972512584828,0.0138160575654498,0.00288019738216209,1753.33165956095,22.4442718697233
9,134558.887893119,3,55,55,0.00740777113717518,0.000499881481448531,0.00937367123168031,0.000474763006372491,1762.15294037695,39.7261430895953
9,134558.887893119,4,55,55,0.0106017583806724,0.00136401422354235,0.0113993781799868,0.00277027528289954,1763.44767766835,196.904939747554
9,134558.887893119,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
9,134558.887893119,6,55,55,0.00800884097976735,0.000583036214067393,0.00766579333480469,0.00133172980674931,1581.69207864361,33.1181035885866
9,134558.887893119,7,21,21,0.00880345556553368,0.00238547596935686,0.00947217965163886,0.00511462761334598,1672.40584307718,155.516471801682
10,180272.239036576,0,50,50,0.0103804177138314,0.00105662219677141,0.00847925409934325,0.00166996319578309,2031.7218781894,80.2883391483892
10,180272.239036576,1,11,11,0.0110443082503708,0.00120221322156188,0.0102177496732262,0.00266076435941612,2153.70607797856,106.306818577967
10,180272.239036576,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
10,180272.239036576,3,55,55,0.00965017493430635,0.000706841044633913,0.00755074641896471,0.000617752883027934,1897.65512352906,107.203226958693
10,180272.239036576,4,55,55,0.0104440866630781,0.00110297593463154,0.00891149368305652,0.00181154894686983,2015.37738081092,147.75999703131
10,180272.239036576,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
10,180272.239036576,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
10,180272.239036576,7,21,21,0.00905537748582713,0.000955564383579124,0.00644519673663481,0.00114060793194669,1874.58059353902,172.434323548013
